word_id|doc_id
463|2,3,5,6,8,9,10,11,12,13,15,16,17,18,19,21,23,24,25,26,30,31,32,33,34,35,38,40,41
464|9
465|2,9,17,19,22,30,32,33,38,40
466|4,24
467|8,9,18,22,23,26,34
468|12
469|1,2,3,10,11,12,16,21,22,42,43,44
470|1,3,9,11,21,23,26,37
471|43
472|10,11,12,16,17,21
473|10
474|18
475|0
476|1,4,21
477|3
478|0
479|10,17,19,22
480|22
481|33
482|0,1,3,4,10,11,12,16,21,23,35,37,44
483|35
484|10
485|0,1,3,8,16,18,19,20,22,23,26,30,31,33,34,35,37,38,40,41,42
486|34
487|2,3,11,12,30,33,34,40
488|2,3,6,17,34
489|3
490|3
491|2,9,10,18,19,30,31,33,35,37
492|1,3,9,31
493|31,34
494|0
495|19,30,31,32,34,39,40
496|30
497|39
498|5
499|0,1,2,3,6,7,9,11,12,13,16,17,18,19,20,21,22,23,26,30,31,32,33,34,35,37,38,41,42,43,44
500|1,3,7,11,32,33,41,44
501|1,2,3,4,6,7,11,19,20,31,33,34,39,41,44
502|1,2,3,6,17,30,38,40,41
503|33
504|18
505|2,8
506|5
507|43
